Make,Model,Year,Mileage,Price,Body Style,Ex Color,In Color,Engine,Transmission,Doors
Infiniti,G 37,2013,43376,20990,Sedan,Purple,Tan,6 Cyl,Automatic,4
Mitsubishi,Outlander Sport,2013,13244,18475,SUV,Black,Black,4 Cyl,Automatic,4
Ford,Econoline E-250,2013,9978,22912,Van,White,Gray,8 Cyl,Automatic,3
Hyundai,Sonata SE,2013,17216,18995,Sedan,White,Black,4 Cyl,Automatic,4
Ford,Escape S,2013,20607,18975,SUV,White,Black,4 Cyl,Automatic,4
Ford,Fusion SE,2013,46847,17800,Sedan,Silver,Black,4 Cyl,Automatic,4
Ford,Econoline E-250,2013,7717,23900,Van,White,Gray,8 Cyl,Automatic,3
Toyota,Venza LE,2013,36216,22500,Wagon,Silver,Gray,4 Cyl,Automatic,4
Subaru,Outback 2.5i,2013,11784,23886,Wagon,White,Brown,4 Cyl,Automatic,4
Toyota,Camry SE,2013,29525,18888,Sedan,Gray,Black,4 Cyl,Automatic,4
Toyota,Venza LE,2013,32888,22992,Wagon,Black,Gray,4 Cyl,Automatic,4
Ford,F-150 XL,2013,10800,19995,Pickup,White,Black,8 Cyl,Automatic,2
Subaru,Forester 2.5XT,2013,17091,23856,SUV,Gray,Gray,4 Cyl,Automatic,4
Ford,Escape SEL,2013,40917,22886,SUV,Black,Black,4 Cyl,Automatic,4
Volkswagen,GTI,2013,10935,20477,Hatchback,White,Gray,4 Cyl,Manual,2
Nissan,Sentra SV,2013,29886,19995,Sedan,White,Gray,4 Cyl,Automatic,4
Chrysler,200 Touring,2013,35560,19995,Convertible,Black,Tan,4 Cyl,Automatic,2
Nissan,Murano S,2013,36678,19998,SUV,Gray,Tan,6 Cyl,Automatic,4
Ford,Mustang,2013,34274,20498,Coupe,White,Black,6 Cyl,Automatic,2
Buick,LaCrosse Premium,2013,28231,24988,Sedan,Silver,Black,6 Cyl,Automatic,4
Subaru,XV Crosstrek Limited,2013,11604,25850,SUV,Blue,Brown,4 Cyl,Automatic,4
Honda,CR-V EX,2013,22003,21500,SUV,Blue,Black,4 Cyl,Automatic,4
Mercedes-Benz,C 300,2013,22510,25990,Sedan,Red,Black,6 Cyl,Automatic,4
Toyota,RAV4 XLE,2013,4717,26901,SUV,Red,Gray,4 Cyl,Automatic,4
Ford,Econoline E-250,2013,4941,22800,Van,White,Gray,8 Cyl,Automatic,3
Honda,Pilot EXL,2013,11427,26995,SUV,Red,Black,6 Cyl,Automatic,4
Dodge,Challenger SXT,2013,35382,22000,Coupe,Black,Gray,6 Cyl,Automatic,2
Ford,Flex Limited,2013,29238,28999,SUV,Black,Black,6 Cyl,Automatic,4
Lincoln,MKZ,2013,30562,27019,Sedan,Silver,Black,6 Cyl,Automatic,4
Ford,Edge Limited,2013,18407,27986,SUV,Black,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2013,8186,31795,Sedan,Black,Tan,6 Cyl,Automatic,4
Ford,Edge SEL,2013,22125,25495,SUV,Blue,Gray,6 Cyl,Automatic,4
Mercedes-Benz,C 250,2013,25412,27478,Sedan,Red,Black,4 Cyl,Automatic,4
Lexus,ES 350,2013,13338,35600,Sedan,Silver,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 250,2013,4827,29994,Sedan,Silver,Black,4 Cyl,Automatic,4
BMW,6 Series 640i,2014,11614,76333,Convertible,Blue,White,6 Cyl,Automatic,2
Jeep,Grand Cherokee Laredo,2013,24765,33995,SUV,White,Black,8 Cyl,Automatic,4
Nissan,Pathfinder Platinum,2013,6000,34950,SUV,Blue,Tan,6 Cyl,Automatic,4
Chevrolet,Silverado 1500 LT,2013,24494,29995,Pickup,Silver,Black,8 Cyl,Automatic,4
Toyota,Sienna Limited,2013,7781,35500,Minivan,White,Tan,6 Cyl,Automatic,4
Lexus,ES 350,2013,20996,35273,Sedan,Silver,Gray,6 Cyl,Automatic,4
GMC,Sierra 1500 Hybrid,2013,11585,37995,Pickup,Blue,Tan,6 Cyl,Automatic,4
Lexus,IS 250,2013,5820,34535,Sedan,White,Tan,6 Cyl,Automatic,4
Audi,A4 2.0T,2013,19267,34595,Sedan,Gray,Black,4 Cyl,Manual,4
Audi,A6 2.0T,2013,8144,41980,Sedan,Black,Black,4 Cyl,Automatic,4
Nissan,Altima,2012,50000,12495,Sedan,Silver,Gray,4 Cyl,Automatic,4
GMC,Yukon XL 1500,2013,23116,37895,SUV,Black,Black,8 Cyl,Automatic,4
GMC,Yukon XL 1500,2013,24707,38400,SUV,Silver,Black,8 Cyl,Automatic,4
Dodge,Grand Caravan SXT,2012,51930,13489,Minivan,Silver,Black,6 Cyl,Automatic,4
Lexus,ES 350,2013,31,40266,Sedan,Red,Black,6 Cyl,Automatic,4
Lexus,RX 350,2013,17042,39995,SUV,Silver,Black,6 Cyl,Automatic,4
Lexus,RX 350,2013,18314,40995,SUV,Silver,Brown,6 Cyl,Automatic,4
Nissan,Altima SR,2012,38850,19294,Sedan,Silver,Black,6 Cyl,Automatic,4
Mercedes-Benz,E 350,2013,12946,44990,Sedan,Silver,Black,6 Cyl,Automatic,4
Nissan,Altima SR,2012,45214,19989,Sedan,Silver,Black,6 Cyl,Automatic,4
Jeep,Grand Cherokee Laredo,2012,22306,23949,SUV,Gray,Black,6 Cyl,Automatic,4
Honda,Civic LX,2012,20911,14772,Sedan,Silver,Gray,4 Cyl,Automatic,4
Mazda,Mazda6 i Touring,2012,37955,13988,Sedan,Black,Black,4 Cyl,Automatic,4
Volkswagen,Jetta S,2012,17729,12995,Sedan,Gray,Black,4 Cyl,Automatic,4
Nissan,Sentra SR,2012,20962,13000,Sedan,Black,Tan,4 Cyl,Automatic,4
Nissan,Versa,2012,42658,11977,Sedan,Black,Gray,4 Cyl,Automatic,4
Honda,Civic LX,2012,38716,14295,Coupe,Gray,Gray,4 Cyl,Automatic,2
Lexus,RX 350,2013,17042,39995,SUV,Silver,Black,6 Cyl,Automatic,4
Lexus,RX 350,2013,18314,40995,SUV,Silver,Brown,6 Cyl,Automatic,4
Nissan,Altima SR,2012,38850,19294,Sedan,Silver,Black,6 Cyl,Automatic,4
Mercedes-Benz,E 350,2013,12946,44990,Sedan,Silver,Black,6 Cyl,Automatic,4
Nissan,Altima SR,2012,45214,19989,Sedan,Silver,Black,6 Cyl,Automatic,4
Ford,Focus SE,2012,50277,11886,Hatchback,Red,Black,4 Cyl,Automatic,4
Audi,Q7 Premium Plus,2013,26620,48995,SUV,Black,Black,6 Cyl,Automatic,4
Mercedes-Benz,E 400,2013,7106,49994,Sedan,Black,Black,Hybrid,Automatic,4
Nissan,Juke S,2012,23834,15995,SUV,White,Black,4 Cyl,Automatic,4
Volkswagen,Jetta SE,2012,24441,16000,Sedan,Black,Black,5 Cyl,Automatic,4
Honda,Civic LX,2012,8858,16991,Sedan,Gray,Gray,4 Cyl,Automatic,4
Nissan,Sentra,2012,48543,12977,Sedan,White,Gray,4 Cyl,Automatic,4
Nissan,Altima S,2012,33047,13995,Sedan,Gray,Gray,4 Cyl,Automatic,4
Ford,Fusion SEL,2012,36259,15995,Sedan,Black,Black,4 Cyl,Automatic,4
Nissan,Sentra,2012,35221,13997,Sedan,Silver,Gray,4 Cyl,Automatic,4
Volkswagen,Jetta SE,2012,17100,14995,Sedan,Black,Tan,5 Cyl,Automatic,4
Honda,Civic EX,2012,31347,14336,Sedan,Black,Gray,4 Cyl,Automatic,4
Honda,Civic LX,2012,4361,15995,Sedan,White,Tan,4 Cyl,Automatic,4
BMW,6 Series 640i,2013,7755,57985,Coupe,Silver,Brown,6 Cyl,Automatic,2
Honda,Accord LX,2012,7826,15995,Sedan,Silver,Gray,4 Cyl,Automatic,4
Hyundai,Sonata GLS,2012,10230,15988,Sedan,Silver,Gray,4 Cyl,Automatic,4
Honda,Accord LXP,2012,32446,16995,Sedan,Gray,Black,4 Cyl,Automatic,4
Volkswagen,Beetle,2012,31059,14995,Hatchback,Silver,Black,5 Cyl,Automatic,2
Nissan,Altima,2012,53508,13977,Sedan,Red,Gray,4 Cyl,Automatic,4
Nissan,Rogue S,2012,21743,15999,SUV,Silver,Black,4 Cyl,Automatic,4
Toyota,Camry LE,2012,36796,15999,Sedan,Black,Gray,4 Cyl,Automatic,4
Nissan,Rogue S,2012,24918,16995,SUV,White,Black,4 Cyl,Automatic,4
Nissan,Rogue S,2012,26873,16995,SUV,Silver,Black,4 Cyl,Automatic,4
Volvo,S60,2012,60447,17492,Sedan,White,Tan,5 Cyl,Automatic,4
Chrysler,200 Touring,2012,33759,16912,Sedan,Black,Black,4 Cyl,Automatic,4
Nissan,Altima S,2012,33616,16977,Sedan,Black,Gray,4 Cyl,Automatic,4
Honda,Accord LXP,2012,5342,18773,Sedan,Gray,Gray,4 Cyl,Automatic,4
Mazda,Mazda6 i Grand Touring,2012,74175,15428,Sedan,Gray,Black,4 Cyl,Automatic,4
Honda,Accord EXL,2012,36081,19592,Coupe,Silver,Black,4 Cyl,Automatic,2
Nissan,Juke SV,2012,12899,18699,SUV,Silver,Black,4 Cyl,Automatic,4
Toyota,RAV4,2012,30820,19950,SUV,Silver,Tan,4 Cyl,Automatic,4
Toyota,Camry,2012,30417,17995,Sedan,Gray,Gray,4 Cyl,Automatic,4
Kia,Sportage LX,2012,15429,18999,SUV,Red,Black,4 Cyl,Automatic,4
Nissan,Maxima S,2012,21705,18795,Sedan,Black,Black,6 Cyl,Automatic,4
Honda,Civic LX,2012,30251,14500,Sedan,White,Gray,4 Cyl,Automatic,4
Nissan,Quest S,2012,24768,18977,Minivan,Gray,Gray,6 Cyl,Automatic,4
Volkswagen,CC Sport,2012,48165,17950,Sedan,White,Black,4 Cyl,Automatic,4
Nissan,Altima S,2012,7301,15996,Sedan,Blue,Black,4 Cyl,Automatic,4
Hyundai,Elantra Limited Edition,2012,30774,14898,Sedan,Silver,Black,4 Cyl,Automatic,4
Ford,Fusion SE,2012,42496,14995,Sedan,Silver,Black,4 Cyl,Automatic,4
Ford,Focus SEL,2012,25142,15895,Hatchback,Black,Black,4 Cyl,Automatic,4
Toyota,Corolla LE,2012,31626,15688,Sedan,White,Gray,4 Cyl,Automatic,4
Honda,Accord,2012,39246,19488,Sedan,Silver,Black,4 Cyl,Automatic,4
Ford,Focus SE,2012,18970,16485,Sedan,Red,Gray,4 Cyl,Automatic,4
Nissan,Rogue S,2012,39885,19992,SUV,Red,Black,4 Cyl,Automatic,4
Toyota,Venza LE,2012,31703,20500,Wagon,White,Gray,4 Cyl,Automatic,4
Nissan,Altima S,2012,5100,17845,Coupe,Blue,Black,4 Cyl,Automatic,2
Honda,Accord EXL,2012,28399,20889,Sedan,Silver,Black,6 Cyl,Automatic,4
Nissan,Rogue,2012,44786,15995,SUV,Silver,Black,4 Cyl,Automatic,4
Ford,Focus SE,2012,58615,15619,Sedan,Black,Black,4 Cyl,Automatic,4
Nissan,Rogue,2012,31029,17000,SUV,White,Gray,4 Cyl,Automatic,4
Honda,Accord EXL,2012,18406,21774,Coupe,Black,Black,4 Cyl,Automatic,2
Ford,Focus SEL,2012,24737,17595,Hatchback,Silver,Black,4 Cyl,Automatic,4
Chevrolet,Traverse LT,2012,41833,20996,SUV,Silver,Black,6 Cyl,Automatic,4
Chevrolet,Equinox LS,2012,15430,18571,SUV,Black,Black,4 Cyl,Automatic,4
Nissan,Pathfinder,2012,30383,21995,SUV,Silver,Gray,6 Cyl,Automatic,4
Hyundai,Santa Fe Limited Edition,2012,14177,22988,SUV,White,Tan,6 Cyl,Automatic,4
Hyundai,Tucson GLS,2012,28382,18998,SUV,Black,Brown,4 Cyl,Automatic,4
Toyota,Camry LE,2012,10903,20188,Sedan,Blue,Gray,4 Cyl,Automatic,4
Nissan,Sentra,2012,36955,18995,Sedan,Gray,Black,4 Cyl,Automatic,4
Subaru,Outback 3.6R Limited,2012,43388,22795,Wagon,Silver,Gray,6 Cyl,Automatic,4
Toyota,Tacoma,2012,63447,22000,Pickup,Green,Gray,4 Cyl,Automatic,4
Volvo,S60,2012,24574,23999,Sedan,Red,Black,5 Cyl,Automatic,4
Acura,TSX Technology,2012,9867,26995,Wagon,Black,Black,4 Cyl,Automatic,4
Jeep,Grand Cherokee Laredo,2012,46295,23099,SUV,White,Black,6 Cyl,Automatic,4
Honda,CR-V EXL,2012,31171,25991,SUV,Green,Black,4 Cyl,Automatic,4
Honda,CR-V EXL,2012,20031,24450,SUV,Green,Tan,4 Cyl,Automatic,4
Jeep,Liberty Sport,2012,33727,19885,SUV,Black,Black,6 Cyl,Automatic,4
Toyota,Camry SE,2012,34717,19999,Sedan,White,Black,4 Cyl,Automatic,4
Nissan,Maxima,2012,17677,24994,Sedan,White,Gray,6 Cyl,Automatic,4
Honda,Odyssey EX,2012,34731,26492,Minivan,White,Gray,6 Cyl,Automatic,4
Acura,MDX,2012,30206,30987,SUV,Gray,Black,6 Cyl,Automatic,4
Honda,Odyssey EX,2012,23251,27300,Minivan,Gray,Gray,6 Cyl,Automatic,4
Jeep,Wrangler Sport,2012,29496,26995,SUV,White,Black,6 Cyl,Automatic,2
Mini,Cooper Countryman S,2012,23764,25994,SUV,White,Black,4 Cyl,Automatic,4
Nissan,Quest LE,2012,7603,28995,Minivan,Black,Gray,6 Cyl,Automatic,4
Volvo,S60,2012,12039,23231,Sedan,Black,Tan,5 Cyl,Automatic,4
BMW,7 Series 750i,2013,3898,69885,Sedan,Black,Black,8 Cyl,Automatic,4
Nissan,Altima S,2014,2664,19995,Sedan,Brown,Tan,4 Cyl,Automatic,4
Ford,Taurus Limited Edition,2012,18211,22998,Sedan,Silver,Black,6 Cyl,Automatic,4
Honda,Accord EXL,2012,20434,22995,Sedan,Gray,Black,6 Cyl,Automatic,4
Acura,TL,2012,23196,27075,Sedan,Gray,Black,6 Cyl,Automatic,4
Toyota,Camry XLE,2012,64405,20988,Sedan,Gray,Gray,4 Cyl,Automatic,4
Kia,Sorento EX,2012,8621,27995,SUV,Black,Black,6 Cyl,Automatic,4
Nissan,Murano LE,2012,16708,27985,SUV,Silver,Tan,6 Cyl,Automatic,4
Ford,Edge SEL,2012,36617,22895,SUV,Gray,Black,6 Cyl,Automatic,4
Ford,Escape Limited,2012,16608,23990,SUV,Silver,Black,6 Cyl,Automatic,4
Volvo,S80,2012,38660,22995,Sedan,Black,Black,6 Cyl,Automatic,4
Chrysler,200 S,2012,25659,27912,Convertible,Gray,Black,6 Cyl,Automatic,2
Honda,Pilot EXL,2012,45934,27000,SUV,Black,Gray,6 Cyl,Automatic,4
Nissan,Murano LE,2012,27605,27998,SUV,White,Tan,6 Cyl,Automatic,4
Nissan,Pathfinder S,2012,7000,24995,SUV,Black,Gray,6 Cyl,Automatic,4
Toyota,Sienna XLE,2012,30098,27991,Minivan,Red,Gray,6 Cyl,Automatic,4
BMW,7 Series 750Li,2013,14004,71967,Sedan,Gray,Black,8 Cyl,Automatic,4
Honda,Accord EX,2012,54014,23995,Sedan,Brown,White,4 Cyl,Automatic,4
Jeep,Grand Cherokee Laredo,2012,27901,29444,SUV,Gray,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2012,21987,26000,Sedan,Gray,Black,6 Cyl,Automatic,4
Volkswagen,Touareg,2012,14904,30995,SUV,Gray,Black,6 Cyl,Automatic,4
Honda,Pilot EXL,2012,40101,25977,SUV,Gray,Black,6 Cyl,Automatic,4
Lincoln,MKX,2012,18190,33989,SUV,White,Black,6 Cyl,Automatic,4
Infiniti,FX 35,2012,35034,31148,SUV,Brown,Gray,6 Cyl,Automatic,4
Mercedes-Benz,E 350,2012,58434,29995,Sedan,Blue,Tan,6 Cyl,Automatic,4
Lexus,ES 350,2012,18764,32241,Sedan,White,Gray,6 Cyl,Automatic,4
Infiniti,FX 35,2012,28504,33999,SUV,Black,Gray,6 Cyl,Automatic,4
Ford,Edge SEL,2012,32617,27598,SUV,White,Black,6 Cyl,Automatic,4
Lexus,IS 350,2012,28957,31995,Sedan,Black,Black,6 Cyl,Automatic,4
Toyota,Highlander,2012,27697,27989,SUV,Silver,Gray,6 Cyl,Automatic,4
Cadillac,SRX,2012,8955,28995,SUV,Red,Black,6 Cyl,Automatic,4
Acura,MDX,2012,16285,32979,SUV,Black,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2012,24067,28477,Sedan,Black,Brown,6 Cyl,Automatic,4
Lexus,IS 250,2012,53866,27000,Sedan,Gray,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2012,7963,29879,Sedan,Silver,Tan,6 Cyl,Automatic,4
Toyota,Highlander Limited,2012,20285,33500,SUV,Silver,Black,6 Cyl,Automatic,4
Lexus,RX 350,2012,27957,35472,SUV,Black,Tan,6 Cyl,Automatic,4
Ford,F-150 STX,2012,14542,29990,Pickup,Black,Gray,8 Cyl,Automatic,4
Infiniti,G 37,2012,19026,30000,Sedan,White,Tan,6 Cyl,Automatic,4
Acura,MDX Technology,2012,39981,33352,SUV,Gray,Black,6 Cyl,Automatic,4
Jeep,Grand Cherokee Laredo,2012,29302,29999,SUV,Silver,Black,6 Cyl,Automatic,4
Cadillac,SRX Luxury,2012,41020,29977,SUV,Silver,Black,6 Cyl,Automatic,4
BMW,6 Series 650xi,2013,9458,76220,Coupe,White,Black,8 Cyl,Automatic,2
Ford,Taurus SHO,2012,16854,31895,Sedan,White,Black,6 Cyl,Automatic,4
Chevrolet,Equinox LS,2011,34611,17991,SUV,Gray,Black,4 Cyl,Automatic,4
Audi,S5,2012,25463,48050,Convertible,Black,Black,6 Cyl,Automatic,2
Mercedes-Benz,C 300,2012,15480,32501,Sedan,White,Gray,6 Cyl,Automatic,4
Mercedes-Benz,ML 350,2012,34492,37990,SUV,Black,Black,6 Cyl,Automatic,4
Lincoln,MKX,2012,14205,34990,SUV,White,Gray,6 Cyl,Automatic,4
Infiniti,FX 35,2012,21043,38888,SUV,Blue,Gray,6 Cyl,Automatic,4
Audi,Q5 Premium Plus,2012,29594,40990,SUV,Black,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2012,23555,33900,Sedan,Black,Black,6 Cyl,Automatic,4
Toyota,Tundra Limited Edition,2012,25711,39500,Pickup,Black,Black,8 Cyl,Automatic,4
Lexus,RX 350,2012,17455,38335,SUV,White,Tan,6 Cyl,Automatic,4
BMW,X5 50i,2012,31408,45516,SUV,Black,Black,8 Cyl,Automatic,4
Mercedes-Benz,ML 350,2012,17186,46991,SUV,Gray,Black,6 Cyl,Automatic,4
Cadillac,DTS Luxury,2011,18185,31995,Sedan,Silver,Black,8 Cyl,Automatic,4
Mercedes-Benz,ML 350,2012,49914,44900,SUV,White,Tan,6 Cyl,Automatic,4
Ram,2500 Laramie,2012,53954,44860,Pickup,Black,Tan,6 Cyl,Automatic,4
Mercedes-Benz,ML 350,2012,6306,43929,SUV,Gray,Black,6 Cyl,Automatic,4
Land Rover,LR4,2012,6793,48750,SUV,Gold,Black,8 Cyl,Automatic,4
GMC,Terrain SLE,2011,44447,19499,SUV,Gray,Gray,4 Cyl,Automatic,4
Mercedes-Benz,E 350,2012,21428,44700,Sedan,Black,Black,6 Cyl,Automatic,4
BMW,X6 xDrive35i,2012,16051,50542,SUV,White,Brown,6 Cyl,Automatic,4
Audi,A7,2012,18904,50486,Hatchback,Gray,Brown,6 Cyl,Automatic,4
Volkswagen,Tiguan SE,2011,43842,21776,SUV,Red,Black,4 Cyl,Automatic,4
Acura,TSX,2011,24114,22999,Sedan,Red,Tan,4 Cyl,Automatic,4
Acura,RDX,2011,42111,22999,SUV,Black,Black,4 Cyl,Automatic,4
Nissan,Sentra SR,2011,15554,12458,Sedan,Silver,Tan,4 Cyl,Automatic,4
Jeep,Liberty Sport,2011,32482,18625,SUV,Silver,Gray,6 Cyl,Automatic,4
Nissan,Altima S,2011,27182,14995,Sedan,Black,Gray,4 Cyl,Automatic,4
Chevrolet,Cruze LT,2011,24759,13588,Sedan,White,Black,4 Cyl,Automatic,4
Ford,Fusion SE,2011,80813,10958,Sedan,Gray,Gray,4 Cyl,Automatic,4
Nissan,Sentra SL,2011,30080,13995,Sedan,White,Gray,4 Cyl,Automatic,4
Mazda,CX-7 i Sport,2011,23742,16510,SUV,Red,Tan,4 Cyl,Automatic,4
BMW,7 Series 750Li,2012,36585,53810,Sedan,Silver,Black,8 Cyl,Automatic,4
Ford,Fusion SE,2011,49324,13524,Sedan,Red,Black,4 Cyl,Automatic,4
Volkswagen,Jetta SEL,2011,24278,16886,Sedan,Black,Black,5 Cyl,Automatic,4
Ford,Fusion SE,2011,42851,13886,Sedan,Red,Gray,4 Cyl,Automatic,4
Jeep,Wrangler Unlimited,2011,63929,25190,SUV,Black,Black,6 Cyl,Automatic,4
Honda,CR-V LX,2011,36416,16795,SUV,White,Gray,4 Cyl,Automatic,4
Honda,Accord LXP,2011,25777,15296,Sedan,Blue,Gray,4 Cyl,Automatic,4
Hyundai,Sonata Limited Edition,2011,53295,13997,Sedan,Blue,Gray,4 Cyl,Automatic,4
Honda,Accord LXP,2011,46858,14471,Sedan,Blue,Gray,4 Cyl,Automatic,4
Nissan,Altima,2011,17116,15977,Sedan,Silver,Gray,4 Cyl,Automatic,4
BMW,7 Series 750Li,2012,29726,57484,Sedan,Black,Black,8 Cyl,Automatic,4
Toyota,Corolla S,2011,29646,15499,Sedan,Silver,Gray,4 Cyl,Automatic,4
Nissan,Altima S,2011,22701,15977,Sedan,White,Gray,4 Cyl,Automatic,4
Honda,Accord LX,2011,25915,15998,Sedan,Red,Tan,4 Cyl,Automatic,4
Toyota,Camry LE,2011,16044,16500,Sedan,Black,Gray,4 Cyl,Automatic,4
Nissan,Altima,2011,6783,16995,Sedan,Gray,Black,4 Cyl,Automatic,4
Honda,Fit Sport,2011,27003,15995,Hatchback,Orange,Black,4 Cyl,Automatic,4
Honda,Accord LXP,2011,24121,16160,Sedan,Blue,Gray,4 Cyl,Automatic,4
Toyota,Camry LE,2011,39835,15500,Sedan,Silver,Gray,4 Cyl,Automatic,4
Nissan,Altima,2011,35455,15777,Sedan,Blue,Yellow,4 Cyl,Automatic,4
Hyundai,Sonata SE,2011,59615,14644,Sedan,Gray,Gray,4 Cyl,Automatic,4
Ford,Transit Connect XLT,2011,101448,12950,Minivan,White,Gray,4 Cyl,Automatic,4
